Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,0,0,0,0
0.019454333,-0.035831043,-0.015326283,-0.037154962,0.053844683
0.029411333,-0.055309251,-0.030364225,-0.069346808,0.093755423
0.039367333,-0.018675714,-0.076677828,-0.043859965,0.09028825
0.049323333,-0.042084348,-0.107006532,-0.001584595,0.114995657
0.059279333,-0.017306297,-0.140054263,0.004981243,0.141207356
0.069235333,0.017445424,-0.119764133,-0.040127102,0.127506763
0.079191333,0.000468727,-0.067363652,-0.040552195,0.078629268
0.089147333,0.012361416,-0.033758607,-0.01877424,0.040557616
0.099104333,0.025138094,-0.052985422,0.016649362,0.060963759
0.109060333,0.000980907,-0.042529211,0.028612765,0.05126779
0.119016333,-0.009239514,0.025148144,0.031367973,0.041252242
0.128972333,-0.015531995,0.086670135,0.063168055,0.108365854
0.138928333,-0.023756543,0.135702327,0.126312137,0.186907065
0.148884333,-0.044858377,0.155649957,0.169599075,0.234527246
0.158841333,-0.060541084,0.147172079,0.216019535,0.268308187
0.168797333,-0.066099265,0.127870713,0.225613647,0.267622027
0.178753333,-0.029246749,0.130121818,0.139092396,0.192701205
0.188709333,0.008240554,0.156694343,0.073260934,0.17317098
0.198665333,0.038115185,0.202297582,0.046251476,0.21098881
0.208621333,0.078986089,0.276159902,0.013798844,0.287564779
0.218577333,0.115418665,0.339297991,0.056795175,0.362864006
0.228534333,0.138098808,0.319756084,0.1086974,0.364870332
0.238490333,0.114064852,0.271057768,0.132973285,0.322746028
0.248446333,0.081856451,0.180456331,0.107025096,0.225209541
0.258402333,0.050615582,0.092109507,0.040048165,0.112472014
0.268358333,0.0222484,0.043443716,-0.01643243,0.051501189
0.278314333,0.016134588,-0.006829182,-0.071279313,0.073400975
0.288271333,0.017192751,-0.008142248,-0.082906501,0.085061007
0.298227333,-0.028803348,-0.036290744,-0.031317687,0.055923595
0.308183333,-0.039432416,-0.110218115,0.043882769,0.125014582
0.318139333,-0.050731174,-0.191746354,0.061009848,0.207515103
0.328095333,-0.053201696,-0.253992158,0.050545671,0.264380978
0.338051333,-0.023427272,-0.26981677,0.05808624,0.276990862
0.348007333,-0.015744067,-0.226728784,0.055844418,0.234035074
0.357964333,-0.047771971,-0.188442312,0.04987558,0.200699376
0.367920333,-0.078642675,-0.17464778,0.115038705,0.223428783
0.377876333,-0.132338022,-0.186103426,0.17487034,0.287623839
0.387832333,-0.125434214,-0.202810163,0.160446428,0.287417398
0.397788333,-0.111111606,-0.167122998,0.116364854,0.231984191
0.407744333,-0.090978729,-0.101250752,0.106450315,0.172801948
0.417701333,-0.064424512,-0.020262137,0.122057703,0.139496075
0.427657333,-0.082512764,0.076123877,0.148611079,0.186248366
0.437613333,-0.089644833,0.055704304,0.228412709,0.251617827
0.447569333,-0.077506707,0.031533742,0.204873573,0.221302615
0.457525333,-0.062431489,0.040031646,0.094388679,0.120039353
0.467481333,-0.04499257,0.047408859,0.072960972,0.097955269
0.477438333,-0.032755773,0.074718572,0.041602939,0.091578438
0.487394333,-0.038110361,0.131159625,-0.011051822,0.137030616
0.497350333,-0.021538109,0.123082939,0.001472914,0.124961872
0.507306333,-0.026962133,0.081483435,0.002994944,0.085880594
0.517262333,-0.00762148,0.021372743,-0.04014289,0.046112175
0.527218333,0.00025037,-0.012187644,-0.144347874,0.144861693
0.537174333,-0.00845131,0.000991322,-0.20229495,0.202473836
0.547131333,-0.025369278,-0.088641304,-0.176132753,0.198805503
0.557087333,-0.059286199,-0.186259254,-0.120376044,0.229559916
0.567043333,-0.095161681,-0.27010913,-0.044827679,0.289869296
0.576999333,-0.108908083,-0.295799603,0.004544456,0.315244394
0.586955333,-0.098454869,-0.262875028,0.074940255,0.290538609
0.596911333,-0.089028573,-0.223378987,0.168250122,0.293483155
0.606867333,-0.082380471,-0.231517215,0.232091777,0.338013839
0.616824333,-0.091003762,-0.249382651,0.264931494,0.375049447
0.626780333,-0.124194787,-0.280286575,0.322649944,0.445070664
0.636736333,-0.177478234,-0.258017673,0.367312147,0.482690228
0.646692333,-0.215439601,-0.24347404,0.35824487,0.483769797
0.656648333,-0.234430005,-0.250507948,0.360253388,0.497487852
0.666604333,-0.259730249,-0.192255427,0.333743867,0.464550235
0.676561333,-0.261515806,-0.136751318,0.292283015,0.415356233
0.686517333,-0.265737862,-0.078501794,0.279635487,0.393668831
0.696473333,-0.266974,-0.011910778,0.20028994,0.333965632
0.706429333,-0.234334367,0.041638169,0.11071352,0.262495364
0.716385333,-0.200787538,0.086507875,0.04537147,0.223288643
0.726341333,-0.154045189,0.167155158,-0.027896481,0.229017424
0.736297333,-0.099132561,0.24521344,-0.084567111,0.277684159
0.746254333,-0.050100186,0.317711678,-0.133452757,0.348224608
0.756210333,-0.01240019,0.37054193,-0.202638182,0.422513099
0.766169833,0.020514956,0.412933512,-0.230305452,0.473260552
0.776125833,0.056838755,0.412985041,-0.258853898,0.490706255
0.786081833,0.06328045,0.413076842,-0.272582576,0.498937023
0.796037833,0.081526394,0.37861518,-0.241243839,0.456283462
0.805994833,0.108696578,0.35251321,-0.239508385,0.439823573
0.815950833,0.137754078,0.316861786,-0.275547699,0.441932248
0.825906833,0.159777671,0.279550995,-0.242640154,0.403177265
0.835862833,0.157417479,0.237078428,-0.188971485,0.341608937
